"fldName";"fldRecoverableOil";"fldRecoverableGas";"fldRecoverableNGL";"fldRecoverableCondensate";"fldRecoverableOE";"fldRemainingOil";"fldRemainingGas";"fldRemainingNGL";"fldRemainingCondensate";"fldRemainingOE";"fldDateOffResEstDisplay";"fldNpdidField";"DatesyncNPD"
"ALBUSKJELL";"7.40";"15.50";"1.00";"0.00";"24.80";"0.00";"0.00";"0.00";"0.00";"0.00";"31.12.2016";"43437";"27.06.2017"
"ALVE";"2.00";"6.70";"1.10";"0.00";"10.79";"0.40";"2.00";"0.30";"0.00";"2.97";"31.12.2016";"4444332";"27.06.2017"
"ALVHEIM";"47.10";"9.60";"0.00";"0.00";"56.70";"14.90";"5.40";"0.00";"0.00";"20.30";"31.12.2016";"2845712";"27.06.2017"
"ATLA";"0.30";"1.40";"0.00";"0.00";"1.70";"0.10";"0.10";"0.00";"0.00";"0.20";"31.12.2016";"21106284";"27.06.2017"
"BALDER";"75.00";"2.00";"0.00";"0.00";"77.00";"9.50";"0.40";"0.00";"0.00";"9.90";"31.12.2016";"43562";"27.06.2017"
"BLANE";"0.80";"0.00";"0.00";"0.00";"0.80";"0.10";"0.00";"0.00";"0.00";"0.10";"31.12.2016";"3437650";"27.06.2017"
"BRAGE";"62.00";"4.40";"1.40";"0.00";"69.06";"4.30";"0.70";"0.00";"0.00";"5.00";"31.12.2016";"43651";"27.06.2017"
"BRYNHILD";"0.60";"0.00";"0.00";"0.00";"0.60";"0.10";"0.00";"0.00";"0.00";"0.10";"31.12.2016";"21123063";"27.06.2017"
"BYRDING";"1.40";"0.00";"0.00";"0.00";"1.40";"1.40";"0.00";"0.00";"0.00";"1.40";"31.12.2016";"28975067";"27.06.2017"
"BØYLA";"3.40";"0.20";"0.00";"0.00";"3.60";"2.00";"0.10";"0.00";"0.00";"2.10";"31.12.2016";"22492497";"27.06.2017"
"COD";"2.90";"7.30";"0.50";"0.00";"11.15";"0.00";"0.00";"0.00";"0.00";"0.00";"31.12.2016";"43785";"27.06.2017"
"DRAUGEN";"144.20";"1.70";"2.80";"0.00";"151.22";"6.00";"0.00";"0.20";"0.00";"6.38";"31.12.2016";"43758";"27.06.2017"
"DVALIN";"0.00";"17.90";"0.20";"0.40";"18.68";"0.00";"17.90";"0.20";"0.40";"18.68";"31.12.2016";"29393934";"27.06.2017"
"EDDA";"4.80";"2.00";"0.20";"0.00";"7.18";"0.00";"0.00";"0.00";"0.00";"0.00";"31.12.2016";"43541";"27.06.2017"
"EDVARD GRIEG";"27.70";"2.50";"0.60";"0.00";"31.34";"23.60";"2.20";"0.60";"0.00";"26.94";"31.12.2016";"21675433";"27.06.2017"
"EKOFISK";"544.70";"158.90";"16.10";"0.00";"734.19";"79.50";"13.60";"2.70";"0.00";"98.23";"31.12.2016";"43506";"27.06.2017"
"ELDFISK";"132.50";"43.40";"4.70";"0.00";"184.83";"23.30";"2.80";"0.70";"0.00";"27.43";"31.12.2016";"43527";"27.06.2017"
"EMBLA";"12.00";"6.80";"0.60";"0.00";"19.94";"1.00";"2.60";"0.10";"0.00";"3.79";"31.12.2016";"43534";"27.06.2017"
"ENOCH";"0.30";"0.00";"0.00";"0.00";"0.30";"0.10";"0.00";"0.00";"0.00";"0.10";"31.12.2016";"3437659";"27.06.2017"
"FLYNDRE";"0.20";"0.00";"0.00";"0.00";"0.20";"0.20";"0.00";"0.00";"0.00";"0.20";"31.12.2016";"24635035";"27.06.2017"
"FRAM";"37.40";"11.20";"1.00";"0.00";"50.50";"5.20";"6.30";"0.50";"0.00";"12.45";"31.12.2016";"1578840";"27.06.2017"
"FRAM H-NORD";"0.70";"0.00";"0.00";"0.00";"0.70";"0.20";"0.00";"0.00";"0.00";"0.20";"31.12.2016";"23410947";"27.06.2017"
"FRIGG";"0.00";"116.20";"0.00";"0.50";"116.70";"0.00";"0.00";"0.00";"0.00";"0.00";"31.12.2016";"43555";"27.06.2017"
"FRØY";"5.60";"1.60";"0.00";"0.10";"7.30";"0.00";"0.00";"0.00";"0.00";"0.00";"31.12.2016";"43597";"27.06.2017"
"GAUPE";"0.40";"0.40";"0.00";"0.00";"0.80";"0.20";"0.00";"0.00";"0.00";"0.20";"31.12.2016";"18161341";"27.06.2017"
"GIMLE";"3.10";"1.10";"0.20";"0.00";"4.58";"0.20";"0.20";"0.00";"0.00";"0.40";"31.12.2016";"4005142";"27.06.2017"
